latitude,longitude,pressureReducedToMeanSeaLevel,windSpeedAt10M
20.8,91.60000000000001,99000.0,15.4
21.8,90.7,99000.0,15.4
22.1,89.4,98800.0,16.5
22.3,89.10000000000001,99000.0,14.9
23.3,88.60000000000001,98900.0,13.9
23.7,86.8,99100.0,13.9
23.7,85.9,98900.0,13.4
24.1,84.5,99100.0,11.8
23.3,83.2,98900.0,11.8
22.8,82.8,99100.0,12.9
24.3,83.3,99000.0,11.3
24.3,83.10000000000001,99300.0,9.8
24.400000000000002,82.8,99300.0,10.8
25.2,82.3,99400.0,8.200000000000001
25.3,81.3,99700.0,8.200000000000001
25.400000000000002,81.2,99600.0,8.200000000000001
25.3,80.7,99800.0,9.8
25.6,80.9,99600.0,8.200000000000001
25.6,81.3,99800.0,7.7
25.7,82.0,99700.0,7.2
