latitude,longitude,pressureReducedToMeanSeaLevel,windSpeedAt10M
14.6,-104.7,1008.0,12.4
15.5,-105.9,1010.0,10.8
15.6,-107.8,1007.0,13.9
15.6,-109.5,1007.0,16.0
15.5,-110.9,1005.0,13.4
15.5,-112.3,1008.0,14.4
15.5,-113.7,1003.0,17.5
15.200000000000001,-115.10000000000001,1003.0,20.6
14.8,-116.4,1000.0,19.6
14.4,-118.0,1004.0,17.5
14.0,-119.4,998.0,20.1
13.6,-120.60000000000001,1002.0,18.0
13.3,-121.8,1001.0,17.0
13.1,-123.2,1001.0,18.5
12.8,-124.4,1000.0,16.5
12.6,-125.7,1005.0,16.0
12.3,-128.2,1006.0,14.9
11.8,-129.8,1003.0,16.0
11.700000000000001,-131.4,1005.0,18.5
11.3,-133.1,1003.0,16.5
11.0,-134.8,1006.0,15.4
10.9,-136.5,1004.0,14.4
10.8,-138.0,1007.0,14.4
10.700000000000001,-139.5,1005.0,14.4
10.700000000000001,-141.20000000000002,1008.0,14.4
10.5,-143.1,1006.0,14.4
10.700000000000001,-145.0,1008.0,13.9
10.700000000000001,-146.70000000000002,1007.0,12.9
11.200000000000001,-150.70000000000002,1008.0,13.4
11.4,-152.3,1010.0,12.9
11.3,-154.3,1008.0,13.9
