"Country","ISO3","W","E","V","S","C","A","S_01","S_02","S_03","S_04","S_05","C_01","C_02","C_03","A_01","A_02","A_03","EI_01","EI_02","EI_03","EI_04","EI_05","EI_06","EI_07","SI_01","SI_02","SI_03","SI_04","SI_05","SI_06","SI_07","SI_08","SI_09","SI_10","SI_11","SI_12","SI_13","SI_14","CI_01","CI_02","CI_03","CI_04","CI_05","CI_06","CI_07","AI_01","AI_02","AI_03","AI_04","EI_01a_Norm","EI_01a_Base","EI_01b_Norm","EI_01b_Base","EI_01c_Norm","EI_01c_Base","EI_01d_Norm","EI_01d_Base","EI_01e_Norm","EI_01e_Base","EI_01f_Norm","EI_01f_Base","EI_02a_Norm","EI_02a_Base","EI_02b_Norm","EI_02b_Base","EI_02c_Norm","EI_02c_Base","EI_02d_Norm","EI_02d_Base","EI_02e_Norm","EI_02e_Base","EI_02f_Norm","EI_02f_Base","EI_03a_Norm","EI_03a_Base","EI_03b_Norm","EI_03b_Base","EI_03c_Norm","EI_03c_Base","EI_03d_Norm","EI_03d_Base","EI_03e_Norm","EI_03e_Base","EI_03f_Norm","EI_03f_Base","EI_04a_Norm","EI_04a_Base","EI_04b_Norm","EI_04b_Base","EI_04c_Norm","EI_04c_Base","EI_04d_Norm","EI_04d_Base","EI_04e_Norm","EI_04e_Base","EI_04f_Norm","EI_04f_Base","EI_05a_Norm","EI_05a_Base","EI_05b_Norm","EI_05b_Base","EI_05c_Norm","EI_05c_Base","EI_05d_Norm","EI_05d_Base","EI_05e_Norm","EI_05e_Base","EI_05f_Norm","EI_05f_Base","EI_06a_Norm","EI_06a_Base","EI_06b_Norm","EI_06b_Base","EI_06c_Norm","EI_06c_Base","EI_06d_Norm","EI_06d_Base","EI_06e_Norm","EI_06e_Base","EI_06f_Norm","EI_06f_Base","EI_07a_Norm","EI_07a_Base","EI_07b_Norm","EI_07b_Base","SI_01a_Norm","SI_01a_Base","SI_01b_Norm","SI_01b_Base","SI_02a_Norm","SI_02a_Base","SI_02b_Norm","SI_02b_Base","SI_03a_Norm","SI_03a_Base","SI_03b_Norm","SI_03b_Base","SI_04a_Norm","SI_04a_Base","SI_04b_Norm","SI_04b_Base","SI_05a_Norm","SI_05a_Base","SI_05b_Norm","SI_05b_Base","SI_06a_Norm","SI_06a_Base","SI_06b_Norm","SI_06b_Base","SI_07a_Norm","SI_07a_Base","SI_07b_Norm","SI_07b_Base","SI_08a_Norm","SI_08a_Base","SI_08b_Norm","SI_08b_Base","SI_09a_Norm","SI_09a_Base","SI_09b_Norm","SI_09b_Base","SI_10a_Norm","SI_10a_Base","SI_10b_Norm","SI_10b_Base","SI_11_Base","SI_12a_Norm","SI_12a_Base","SI_12b_Norm","SI_12b_Base","SI_13a_Norm","SI_13a_Base","SI_13b_Norm","SI_13b_Base","SI_14a_Norm","SI_14a_Base","SI_14b_Norm","SI_14b_Base","SI_15a_Norm","SI_15a_Base","SI_15b_Norm","SI_15b_Base","SI_15c_Norm","SI_15c_Base","SI_15d_Norm","SI_15d_Base","CI_01a_Norm","CI_01a_Base","CI_01b_Norm","CI_01b_Base","CI_02a_Norm","CI_02a_Base","CI_02b_Norm","CI_02b_Base","CI_03a_Norm","CI_03a_Base","CI_03b_Norm","CI_03b_Base","CI_04a_Norm","CI_04a_Base","CI_04b_Norm","CI_04b_Base","CI_05a_Norm","CI_05a_Base","CI_05b_Norm","CI_05b_Base","CI_06a_Norm","CI_06a_Base","CI_06b_Norm","CI_06b_Base","CI_07a_Norm","CI_07a_Base","CI_07b_Norm","CI_07b_Base","AI_01a_Norm","AI_01a_Base","AI_01b_Norm","AI_01b_Base","AI_01c_Norm","AI_01c_Base","AI_02a_Norm","AI_02a_Base","AI_02b_Norm","AI_02b_Base","AI_02c_Norm","AI_02c_Base","AI_03a_Norm","AI_03a_Base","AI_03b_Norm","AI_03b_Base","AI_03c_Norm","AI_03c_Base","AI_04a_Norm","AI_04a_Base","AI_04b_Norm","AI_04b_Base","AI_04c_Norm","AI_04c_Base","AI_05a_Norm","AI_05a_Base","AI_05b_Norm","AI_05b_Base"
"Afghanistan","AFG",4.05,0.25,65.65,55.6,77.36,65.79,68.55,55.75,59.94,51.21,45.29,80.58,80.61,71.27,65.84,66.83,64.71,56.35,0.01,0.01,46.79,0.01,2.44,0.01,66.93,71.55,74.26,62.1,54.96,35.81,74.82,65.62,38.44,70.41,79.55,45.75,44.98,65.25,69.24,93.78,76.4,85.05,69.65,71.1,73.11,69.47,62.4,69.43,64.33,63.67,173969.26,66.24,0.57259,60.33,57597.28,52.71,0.18957,51.25,1816.13,46.58,0.00598,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,50.72,326617.47,41.16,1.07501,50.72,281218.89,42.91,0.92558,52.05,213831.11,44.36,0.70379,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,55.86,1844184.83,42.4,6.06982,31.5,25117.39,28,0.08267,0.01,0,0.01,0,0.01,0,0.01,0,65.76,65.32,68.12,10.2,74.49,3.9,68.72,10.2,75.73,2107.56,72.82,383.88,75.73,478.03,50.93,59.39,53.7,75.09,56.24,50.5,28.32,97.7,45.29,36,80.51,0.52,69.54,593.56,62.59,25.6,68.79,106,38.87,51.74,38.01,133.74,70.86,75.32,24.27,4.77,0.71994,51.81,158502,40.4,0.41,49.88,45042,40.57,0.12,70.76,404000,60.16,1.04,25.51,13.39,43.35,20623.11,65.42,30148.85,58.17,1313.64,76.53,2740149.8,62.64,7.368,100,22616.2,87.94,0.060712,76.4,-1.40108,76.4,-1.46388,89.84,-2.64941,80.51,-1.71353,63.49,32.67,76.4,44.6,81.55,54.96,61.99,2.71,76.4,512.62,69.97,62.3,63.49,1.05,81.55,23.55,64.76,81.28,57.57,0.86,63.18,0.52,66.81,10.56,62.58,1499.16,74.49,4618.39,71.8,8668.38,65.5,70,55.5,75,73.25,43,69.54,635.06,60.21,5.6
"Albania","ALB",4.98,2.29,10.81,6.68,11.44,16.52,48.19,11.67,36.59,0.13,4.97,0.65,51.54,44.73,45.69,2.27,43.5,2.62,2.06,60.41,23.35,0.01,0.17,25.4,40.51,43.33,52.46,58.59,26.78,0.57,51.38,23.63,33.14,35.57,41.57,20.72,0.01,0.01,42.72,0.01,52.74,50.36,46.45,47.91,40.21,48.67,42.9,43,0.12,37.91,14828.76,65.67,0.53054,32.21,1932.77,40.74,0.06915,0.01,0,0.01,0,29.31,96.86,37.26,0.00347,27.02,2.85,25.95,1e-04,0.01,0,0.01,0,49.39,16040.03,71.08,0.57388,51.37,12901.63,74.87,0.46159,51.55,6013.87,69.82,0.21516,20.81,13430.55,28.78,0.48052,19.75,8855.68,26.19,0.31684,20.46,6607.85,25.54,0.23641,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,31.69,214380.66,85.33,7.67009,0.01,0,0.01,0,0.01,0,0.01,0,24.1,13954.94,26.77,0.49928,36.82,78.73,44.58,13.9,45.3,10.1,41.44,14.7,48.14,13576.74,57.16,1539.47,44.09,26.45,77.87,1252.37,36.47,95.07,19.66,99.3,0.01,100,32.71,80.7,44.58,152.83,59.22,921.48,17.7,3.9,31.56,137,30.88,47.28,35.57,121.43,35.89,25.32,62.88,21.61,0.65199,21.17,1146,20.28,0.04,0.01,0,0.01,0,0.01,0,0.01,0,0.01,1.18,41.83,19828.39,33.89,541.29,43.1,664.11,40.45,46825.4,45.11,1.64,0.01,0,0.01,0,56.41,-0.52876,49.3,-0.06133,47.2,0.11857,53.74,-0.41118,49.77,164.7,43.35,508.8,40.51,335.18,56.65,6.6,38.3,12.66,42.21,8.8,56.9,3.89,39.97,82.1,50.7,96.55,41.71,4.73,46.73,2.6,40.51,57.81,36.51,13.5,50.23,1555.18,43.35,531.06,0.01,99,0.01,99,16.18,96,48.6,3213.01,38.94,1.6
"Algeria","DZA",9.58,2.62,35.05,18.93,50.33,45.19,46.18,11.01,54.62,2.32,37.76,37.55,61.85,54.91,47.53,44.16,43.98,2.67,0.48,1.69,24.17,0.01,37.95,42.2,41.3,48.22,47.76,47.81,40.13,20.23,50.35,0.36,35.4,57.16,80.51,40.81,30.59,0.01,33.5,42.08,57.92,66.05,53.43,55.54,55.79,51.04,44.26,48.84,39.93,59.66,117466.19,52.93,0.26722,40.5,7328.16,28.5,0.01667,0.01,0,0.01,0,29.67,99.09,18.93,0.00023,23.14,0.77,0.01,0,0.01,0,0.01,0,24.55,72.43,19.81,0.00016,24.18,55.11,20.15,0.00013,0.01,0,0.01,0,35.18,89600.03,17.57,0.20383,33.89,72876.15,18.31,0.16579,31.65,37512.36,16.43,0.08534,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,59.61,2311617.88,33.76,5.25869,36.98,44696.11,30.09,0.10168,37.56,84.39,35.54,0.00019,51.21,384525.23,34.77,0.87475,41.04,77.15,41.57,14.53,55.42,8,41.95,14.6,52.33,11011.37,43.59,4661.39,43.1,12.32,53.03,119.46,36.78,94.44,43.79,85.97,24.44,99.5,16.75,99.3,50.7,83.22,50,1093.56,0.01,2.5,13.09,151,35.89,48.8,34.91,119,57.66,49.27,50.93,10.79,0.72019,47.56,99775,35.01,0.23,38.4,10046,24.37,0.02,0.01,0,0.01,0,30.88,22.67,30.46,13620.77,46.97,7479.75,46.02,802.95,41.13,53045,27.29,0.124,43.02,40.8,41.17,9.8e-05,58.43,-0.62185,57.41,-0.51617,68.72,-1.00358,63.49,-0.81546,49.07,171.9,58.17,154.8,54.22,182.84,56.9,6.36,57.16,88.67,54.46,23.5,54.46,8.82,56.65,49.06,43.1,100.53,38.73,6.55,51.63,1.66,43.35,52.5,45.3,64.3,47.44,1328.69,54.22,1769.31,37.44,91,35.84,91,47.45,77,43.84,4229.07,44.13,2.4
"Andorra","AND",0.26,0.02,3.37,2.54,1.81,8.29,38.97,0.5,22.9,0.01,23.64,0.01,18.3,32.38,29.75,0.43,44.61,0.14,0.01,0.01,0.01,0.01,0.16,0.01,32.05,45.71,34.4,45.78,0.01,0.01,21.95,27.79,37.53,25.51,12.55,0.01,0.01,0.01,0.01,0.01,20.8,16.1,39.19,34.74,24.94,26.48,33.42,1.35,0.14,16.27,121.59,39.18,0.10667,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,16.42,8776.58,100,7.7,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,29.14,81.65,35.24,15.47,42.47,10.5,49.19,13.3,34.91,35324.22,33.89,9516.65,51.4,95.89,40.78,-25.11,0.01,100,0.01,100,0.01,100,0.01,100,10.16,471.29,47.44,1139.51,16.6,3.82,46.51,125.25,36.51,49.23,38.58,137.83,32.45,23.8,59.89,17.87,0.14353,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,47.67,131.58,23.6,11346.8,22.13,135.29,12.55,249.92,0.01,0,0.01,0,0.01,0,0.01,0,30.03,1.23439,14.41,1.90875,10.16,1.61514,25.51,1.57994,35.24,355.58,43.59,501.39,35.24,424.47,34.24,1209.56,27.18,5.36,22.89,2.9,15.96,3606.3,26.09,111.8,44.58,99.85,39.65,5.91,20.45,40.25,46.02,46.06,12.55,3.48,19.49,225.39,0.01,36.61,0.01,99,0.01,99,25.75,93,35.57,7868.64,55.95,4.51
"Angola","AGO",11.02,2.37,51.21,33.12,59.3,68.36,57.11,58.4,72.79,2.36,69.52,44.99,65.58,70.69,68.22,71.63,65.38,0.12,0.14,26.85,34.66,0.01,49.42,54.65,74.49,62.11,58.05,39.6,62.82,46.74,70.94,55.84,79.59,84.04,57.66,37.55,34.79,0.01,52.06,38.88,69.34,62.03,73.94,68.23,70.03,67.42,69.02,66.11,77.62,15.88,101.84,15.7,0.00028,0.01,0,0.01,0,0.01,0,0.01,0,33.68,155.5,23.57,0.00043,0.01,0,0.01,0,0.01,0,0.01,0,27.11,167.66,22.72,0.00046,29.03,162.22,22.34,0.00045,34.65,160.16,27.08,0.00044,42.21,152531.83,27.49,0.42126,41.86,136071.17,27.81,0.3758,43.63,110911.58,29.42,0.30632,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,50.06,1162440.5,18.49,3.21044,61.16,360253.63,54.04,0.99495,69.09,72115.94,68.96,0.19917,62.82,1182757.6,47.54,3.26656,74.49,61.62,74.49,9.6,65.59,5.2,58.82,11.8,58.69,6023.79,57.41,1488.74,41.57,3.85,37.72,-59.64,70.65,57.17,55.86,51.66,52.88,45.67,41.31,49.6,66.46,3.74,75.73,465.99,52.17,17.3,59.76,116,80.51,68.56,78.68,446.23,85.59,90.24,19.98,4.26,0.66456,43.99,56130,32.06,0.17,41.49,14182,29.17,0.04,0.01,0,0.01,0,71.32,1273.82,68.72,32330.84,66.81,33230.03,71.32,1982.94,57.51,616053.8,47.12,1.964,40.4,19.2,37.42,6.2e-05,68.72,-1.05468,69.97,-1.11714,55.67,-0.3111,69.12,-1.05434,68.72,16.69,79.55,40.8,70.41,78.96,66.11,0.72,64.76,245.06,75.73,77.2,62.28,1.3,77.11,27.14,63.8,82.14,58.72,0.79,80.51,0.16,69.54,9.56,72.3,3208.41,56.41,2264.2,70.86,8547.48,78.28,51,79.94,51,74.74,41,57.92,1375.58,73.8,22.3
"Antigua and Barbuda","ATG",3.84,1.2,12.27,5.57,9.34,35.55,45.62,4.73,47.41,0.01,52.38,0.5,40.12,40.58,38.04,35.74,33.04,2.51,37.65,0.01,0.01,3.16,2.07,59.08,42.72,51.36,43.59,45.3,33.31,0.01,27.24,55.04,44.81,31.68,75.09,0.01,0.01,0.01,25.06,0.01,45.22,35.6,38.01,42.07,41.79,35.38,40.9,42.97,29.73,22.42,750.99,100,0.82016,20.35,181.14,54.54,0.19783,0.01,0,0.01,0,27.53,50.61,62.9,0.05528,26.63,2.43,43.17,0.00265,29.37,2.03,48.72,0.00221,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,38.72,3387.95,100,3.7,41.04,274.7,62.47,0.3,0.01,0,0.01,0,15.31,7050.6,100,7.7,15.3,142.78,33.29,0.15593,0.01,0,0.01,0,38.6,90047.29,90.42,98.34122,40.51,77.21,45.06,13.71,49.3,9.3,53.51,12.8,44.09,18611.91,43.1,5019.93,70.41,370.83,29.14,-431.22,27.46,97.84,40.4,89.42,0.01,100,0.01,100,46.49,131.17,15.96,1698.7,40.97,10.4,73.93,100,50.58,56.79,39.7,143.05,44.58,31.75,56.16,13.56,0.69466,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,57.41,315.47,52.33,23829.66,52.8,13517.38,47.44,846.74,17.54,360,35.81,0.378,0.01,0,0.01,0,42.08,0.2779,48.6,-0.00387,30.88,0.95971,41.04,0.4052,47.44,193.27,30.46,908.3,42.84,312.44,41.31,417.27,47.44,37.54,36.82,6.4,40.51,256.29,35.89,92.39,30.46,107.63,49.24,2.26,25.51,21.05,54.46,25.95,47.9,90.05,38.01,741.26,43.59,547.3,22.08,96,25.56,95,46.55,78,31.68,10575.09,34.45,1.1
"Argentina","ARG",15.61,11.54,21.12,17.92,10.84,48.49,39.29,10.45,40.97,2.27,48.33,0.58,50.8,43.22,36.72,47.75,65.04,44.56,29.06,35.41,53.95,0.01,41.82,26.4,42.52,29.54,44.5,42.65,29.27,0.4,41.95,24.26,28.07,52.68,46.49,46.6,25.05,0.01,34.04,0.01,48.46,53.26,42.3,41.97,45.46,40.72,33.12,41.05,55.54,49.8,57470.03,42.03,0.12716,50.6,18740.8,34.2,0.04147,52.07,1877.25,41.53,0.00415,34.81,182.15,23.22,4e-04,34.47,27.31,24.57,6e-05,33.89,8.43,25.98,2e-05,40.72,3812.53,32.84,0.00844,41.06,1918.11,31.73,0.00424,37.3,465.97,30.33,0.00103,58.17,678003.66,51.16,1.50014,58.17,559364.06,49.86,1.23764,58.76,375357.26,48.61,0.83051,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,62.18,2903834.83,45.63,6.42496,33.65,28248.16,24.54,0.0625,49.57,6197.19,46.05,0.01371,36.14,72896.87,19.28,0.16129,42.84,76.89,42.21,14.42,39.43,10.9,22.13,17.7,42.59,20212.9,46.49,3707.8,41.04,0.94,44.33,5.73,24.87,98.58,34.45,94.73,0.01,100,16.16,99.8,42.08,195.67,41.83,1254,17.7,3.9,33.26,136,42.72,53.93,18.45,73.76,49.54,38.06,59.35,17.71,0.65462,53.75,185248,40.4,0.41,31.95,3689,19.64,0.01,0.01,0,0.01,0,60.03,418.17,45.78,21695.6,45.54,7111.31,43.59,669.17,41.47,55693,27.94,0.128,0.01,0,0.01,0,46.97,-0.07107,50,-0.08649,51.86,-0.11998,54.7,-0.43073,33.89,373.38,52.8,250.4,35.89,399.61,49.07,79.84,47.67,40.3,43.35,9.9,51.86,19.11,47.9,65.77,27.18,108.88,45.22,3.25,46.49,2.63,17.28,95.45,44.82,55.08,34.24,602.91,45.06,669.17,57.61,74,57.18,74,52,71,50.23,2778.26,84.22,42
"Armenia","ARM",2.72,0.23,32.22,19.14,41.94,41.68,53.12,10.07,38.67,2.88,43.12,32.57,51.61,43.88,48.48,34.22,43.63,46.88,0.01,0.01,28.24,0.01,2.67,0.01,48.65,43.27,51.13,73.95,19.37,0.43,45.13,27.37,37.27,38.3,40.51,57.26,0.01,41.63,28.56,37.14,49.3,54.03,40,47.68,44.3,54.78,42.91,46.57,25.15,41.25,22878.68,100,0.82016,42.14,8224.08,61.05,0.29482,29.34,29.37,34.11,0.00105,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,25.21,25642.72,38.78,0.91925,22.54,14326.24,33.25,0.51357,21.85,9650.36,31.65,0.34595,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,31.38,205350.24,66.79,7.36145,32.57,26259.52,53.43,0.94136,0.01,0,0.01,0,0.01,0,0.01,0,46.26,75.28,51.16,12.54,37.27,11.3,50.23,13.1,49.07,13075.26,53.27,1965.91,72.82,436.87,75.09,1073.99,10.67,99.97,35.17,93.94,0.01,100,18.51,98.1,46.73,130.41,43.59,1223.49,15.29,3.4,49,124,37.72,50.66,36.82,126.94,43.59,30.92,58.96,17.52,0.65113,47.9,109110,68.45,3.68,0.01,0,0.01,0,39.87,800,43.47,0.03,37.72,46.01,49.07,22719.84,39.97,3019.7,46.73,824.3,27,5037.2,30.22,0.174,34.04,2.8,40.52,9.6e-05,49.07,-0.18417,49.54,-0.06682,59.49,-0.50641,49.07,-0.13128,35.89,344.35,44.58,436.8,36.51,393.52,62.28,2.7,43.1,24.81,45.54,12.4,65.76,0.54,42.59,77.76,58.69,88.71,33.46,11.87,53.27,1.51,44.33,50.82,41.57,35.04,55.42,2142.37,43.84,572.35,34.52,92,28.47,94,16.18,96,52.8,2200.69,36.05,1.2
"Australia","AUS",21.36,31.21,14.62,8.48,13.66,26.96,9.09,1.19,44.17,2.87,32.06,3.97,23.37,27.47,26.28,24.53,30.4,23.33,63.12,26.21,34.24,49.35,6.63,66.72,15.17,0.5,26.91,33.46,9.02,0.01,37.99,0.58,36.51,49.77,47.44,47.44,49.83,0.01,28.17,0.56,23.18,23.57,25.43,32.22,25.29,28.36,24.36,24.48,24.58,28.98,4028.33,25.64,0.01908,18.58,67.79,16.54,0.00032,26.31,3.38,26.84,2e-05,75.86,10501.65,61.93,0.04975,65.29,2686.79,54.48,0.01273,67.08,2103.97,56.43,0.00997,30.85,427.9,24.91,0.00203,28.65,161,23.08,0.00076,27.31,33.5,23.37,0.00016,38.45,108603.91,30.38,0.51447,38.78,93037.87,30.06,0.44073,37.79,72688.18,31.33,0.34433,47.99,31845.98,43.55,0.15086,46.84,686.09,38.49,0.00325,61.9,43.55,61.9,0.00021,42.67,590535.29,17.73,2.79742,21.76,3017.69,16.4,0.0143,31.5,0.1,0.01,0,70.87,3319170.78,62.82,15.72324,15.96,83.66,14.41,17.49,24.59,12.7,0.01,22,26.65,51422.38,27.18,12561.73,32.07,0,34.91,-122.74,10.67,99.97,7.63,99.99,0.01,100,0.01,100,29.14,345.06,49.54,1099.12,0.01,2.5,33.26,136,36.82,49.68,36.2,124.44,42.08,29.91,66.81,25.14,0.65527,51.07,143479,44.07,0.56,52.51,52033,47.28,0.2,0.01,0,0.01,0,41.04,70.44,30.88,14501.85,26.65,224.13,31.28,395.11,34.3,14394.6,23.14,0.058,30.94,0.2,0.01,0,22.13,1.81111,24.27,1.5719,24.27,1.0865,22.89,1.73414,33.19,376,19.49,1324,36.82,377.33,28.2,3616.6,22.89,4.38,27.95,3.7,28.68,1558.11,46.02,69.12,17.28,117.98,53.74,1.23,39.97,6.22,6.73,115.95,27.7,6.75,15.96,123.88,33.19,161.15,26.06,95,25.56,95,22.3,94,28.2,11824.97,32.78,0.9
"Austria","AUT",1.14,0.17,7.66,4.8,3.19,29.33,28.19,0.48,34.77,0.18,30.12,0.06,24.28,22.21,32.1,28.99,27.11,38.81,0.01,0.01,54.56,0.01,0.16,0.01,29.56,30.07,22.89,31.03,0.3,0.01,40.06,0.43,25.08,41.95,39.97,54.85,0.01,0.01,0.38,0.01,26.07,22.61,27.66,15.96,24.81,30.5,33.78,19.62,42.83,41.93,27002.15,55.17,0.3074,39.69,5794.48,39.93,0.06597,29.78,32.79,31.28,0.00037,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,47.01,242842.84,61.28,2.76462,47.4,205927.08,61.96,2.34436,48.61,152243.92,64.16,1.73321,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,39.93,508202.48,39.04,5.78559,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,28.68,81.74,30.46,16.2,27.7,12.5,32.64,16.1,22.89,58942.16,22.89,16700.03,32.07,0,30.03,-358.15,0.01,100,8.84,99.97,0.01,100,0.01,100,36.2,283.67,44.33,1207.89,0.01,2.5,18.66,147,23.6,43.89,26.65,91.49,22.13,21.71,69.97,28.93,0.65067,52.19,165793,57.64,1.86,0.01,0,0.01,0,0.01,0,0.01,0,51.4,195.21,24.27,11382.61,27.18,240.68,24.27,276.96,14.19,66,0.01,0,0.01,0,0.01,0,26.65,1.54543,25.51,1.49091,29.59,0.98012,17.28,1.88305,22.13,521.1,34.58,708.9,15.96,727,15.96,6953.36,23.6,4.72,26.09,3.5,24.27,2020.23,28.68,102.87,40.78,101.14,51.07,1.69,29.59,13.55,25.51,86.48,10.16,3.35,29.14,428.84,25.51,100.59,45.83,85,44.12,85,38.85,84,19.49,13789.83,37.72,1.4
